round,team_a_id,team_b_id
1,3,250
1,54,29
1,42,136
1,26,308
1,6,85
1,50,301
1,59,31
1,35,214
1,18,263
1,43,116
1,62,281
1,64,291
1,21,8
1,118,168
1,7,71
1,57,198
1,49,328
1,67,104
1,30,140
1,63,182
1,75,12
1,15,210
1,68,127
1,25,276
1,66,229
1,2,47
1,78,321
1,52,165
1,9,106
1,45,237
1,124,77
1,24,252
